Symbol	mouse_inviro_colon_Untr_24hr_1	mouse_inviro_colon_Untr_24hr_2	mouse_inviro_colon_Untr_24hr_3	mouse_inviro_colon_Untr_72hr_1	mouse_inviro_colon_Untr_72hr_2	mouse_inviro_colon_Untr_72hr_3	mouse_inviro_colon_X1000_24hr_1	mouse_inviro_colon_X1000_24hr_2	mouse_inviro_colon_X1000_24hr_3	mouse_inviro_colon_X1000_72hr_1	mouse_inviro_colon_X1000_72hr_2	mouse_inviro_colon_X1000_72hr_3
CCDC40	0.715634513214103	11.4390075419964	3.611740527602	12.5289238642409	22.003821934165	13.7172339969755	4.42606940141314	0.821286584323572	0.944456949918222	0	0	8.87759443047173
CCDC43	299.850861036709	267.386801294166	241.083680217433	232.829168477143	123.771498379678	297.206736601135	562.996027859751	494.414523762791	423.116713563363	399.822482942643	443.590598368103	543.752658866394
CCDC47	785.051060995871	605.552461754435	734.989197367006	605.564653438308	482.708843680744	541.373501747298	1428.73520277616	1617.11328453311	1113.51474395358	1094.48612649103	669.145139911207	1312.77427640601
CCDC51	49.3787814117731	87.9373704790975	123.702113070368	115.892545744228	134.77340934676	103.336496110548	131.011654281829	169.185036370656	117.112661789859	204.37853178353	125.934619028233	156.467601837064
CCDC57	14.3126902642821	84.3626806222236	111.061021223761	107.539929834734	204.910591761911	118.882694640454	21.2451331267831	24.6385975297072	0	12.2850483585728	28.1943176928879	48.8267693675945
CCDC59	168.889745118528	346.029978145392	334.988933935085	295.473787798347	292.925879498571	255.140552343743	399.231460007465	441.852182366082	310.726336523095	471.299127937976	390.961205341379	643.625596209201
CCDC6	1985.88577416914	2274.93262491454	1543.11614041795	1390.71054893074	1023.17771993867	1368.06547063169	1978.45302243167	1940.7001987566	1582.90984806294	2010.28064049374	2024.35201034935	1580.21180862397
CCDC61	206.818374318876	95.80168816422	129.119723861771	196.286473873107	220.03821934165	188.383346891796	44.2606940141314	6.57029267458858	17.000225098528	35.7383224976664	20.6758329747845	38.8394756333138
CCDC62	0	43.6112162538614	35.2144701441195	25.0578477284817	22.003821934165	24.6910211945558	21.2451331267831	22.1747377767364	14.1668542487733	2.23364515610415	13.157348256681	21.0842867723704
CCDC66	67.2696442421257	95.0867501928452	99.3228645090549	82.4820821062523	83.8895711240039	91.448226646503	60.1945438592187	87.0563779382987	117.112661789859	81.5280481978016	118.416134310129	65.472258924729
