Symbol	human_si_Untr._24h_1	human_si_Untr._24h_2	human_si_Untr._24h_3	human_si_Untr._72h_1	human_si_Untr._72h_2	human_si_Untr._72h_3	human_si_X1000uM_24h_1	human_si_X1000uM_24h_2	human_si_X1000uM_24h_3	human_si_X1000uM_72h_1	human_si_X1000uM_72h_2	human_si_X1000uM_72h_3
PDZD3	7.03768887	7.35583828	6.578687849	6.551674106	6.613171497	6.925723429	6.739356726	6.408854675	6.547969381	6.00207924	5.313469428	5.794109822
PDZD7	6.333693986	6.508067643	6.249524949	6.267043447	6.504597278	6.49588137	5.685318839	5.847976331	5.96288705	5.556011685	5.389264618	5.454735935
PDZD8	9.268216345	9.237046319	9.351518682	8.624296377	8.386465027	8.546281304	9.701230385	9.444929515	9.831396355	8.815969458	8.940248339	9.118865772
PDZK1	7.604577485	7.025771515	6.654468537	6.633947385	6.713352458	5.789938354	6.34665694	6.369280213	6.497025417	5.803046872	5.458442836	5.829324458
PDZK1IP1	8.029577265	8.722473098	8.068822984	10.04070089	10.13745057	9.868484733	8.199240535	8.123784859	8.18741906	9.050420883	8.962016733	9.148451944
PEA15	9.392793865	9.788070377	9.413402716	9.864940303	9.910421949	9.79757039	10.00808928	10.02313627	10.05762138	10.38338605	10.70002321	10.20150505
PEAK1	9.750801054	9.624253083	9.651183886	9.387918368	9.275438789	9.472812529	10.14449809	10.0938494	10.14318423	9.993748612	10.06556086	10.03587663
PEAR1	8.309196027	8.719670234	8.174276746	8.221251975	8.415152962	8.809772376	8.330470043	8.704228298	8.693744512	7.863007701	8.12299655	7.925544665
PEBP1	10.23342348	10.63987199	10.65537137	10.64944581	10.71488402	10.73998221	10.69172209	10.58748016	10.66645407	11.22034749	11.34825259	11.02589592
PECR	7.471441927	7.760788737	7.460573752	7.860257002	7.861038613	7.583586466	6.418764892	6.465969215	6.719258851	6.700174588	6.867450709	6.623485846
PEF1	8.51132253	8.876329891	8.824727197	9.724569606	9.758873029	9.466728217	8.576256724	8.821383238	8.816302576	9.686313667	9.6333618	9.183170193
PEG10	6.862948303	7.534671249	8.065043545	7.87969619	7.825671908	7.784908767	6.750239982	6.502661251	6.804042932	7.611384555	7.732210969	7.335944739
PEG13	5.384962629	5.568902415	5.602447684	5.409610578	5.388201981	5.314304774	5.441296273	5.638749939	5.237374367	5.435239099	5.228988132	5.401638268
PELI1	9.443766851	9.422277075	8.913165933	8.885385526	8.71705443	8.907468907	9.794692157	9.402323253	10.06312046	9.715809399	9.765327817	9.476912952
PELI2	7.464774908	6.968600987	6.885398557	7.708899698	7.402801527	7.293445208	6.803353139	7.055076238	7.172907115	7.723361596	7.762566926	7.803403091
PELI3	6.148458548	6.003429511	6.544799901	6.201300403	6.745114659	6.810802075	5.901959459	6.349010834	6.290364201	6.037910368	6.209507362	6.605606373
PELO	8.387943516	8.279792625	8.076351871	8.904357192	8.520083983	8.569237425	7.855394917	7.977753797	8.25177152	8.275550829	8.447933281	8.330200382
PELP1	8.685582898	8.876329891	9.294897092	8.730955329	9.390310295	9.302195501	9.482993681	9.893206465	9.376618772	9.651120855	9.488074185	9.565059456
PEMT	7.36792656	8.083803432	8.049824548	8.9012126	8.848841696	8.65755183	5.901959459	6.520618221	6.547969381	5.610758843	5.458442836	5.896413411
PEPD	9.694408163	10.04086304	9.710083453	9.898389441	10.21261844	9.936072353	9.652122767	9.603765437	9.441433487	9.531799016	9.333155206	9.316832852
PER1	8.794502448	9.351742441	8.956438906	10.09939952	10.62093717	10.85149772	9.464144423	10.11065069	9.638560233	9.701137022	9.558273511	9.698951158
PER2	7.726176243	7.969929878	7.685464755	8.200862362	8.312120303	8.400231534	8.672662864	8.920178366	9.005573848	8.820509999	9.029539005	8.882191717
PER3	7.681082594	8.109827908	7.635095102	7.62666005	8.013238781	7.852391475	7.540704814	7.304822973	7.463266735	7.236949937	7.012395746	7.071208448
PERM1	5.494863372	6.21373922	5.954475086	5.863644903	6.107498688	6.145214711	5.630106784	5.909270693	5.754594838	5.211053859	4.495114043	5.344776278
PERP	11.21583401	11.91570373	11.14935115	11.96937063	12.26458688	12.14353801	11.71522916	11.43366967	12.09791729	12.99574866	13.15920245	12.6719175
PES1	8.498485682	8.752948499	8.857718076	8.748569069	8.848841696	8.852458751	8.421540165	8.400455032	8.385659318	7.330735315	7.511156849	7.436924841
PET100	5.883261557	5.391650354	5.628482171	5.11036386	5.131580445	5.133006537	5.762717634	5.967289587	5.491348921	5.367624874	5.522356808	5.68052992
