Symbol	human_colon_Untr._24h_1	human_colon_Untr._24h_2	human_colon_Untr._24h_3	human_colon_Untr._72h_1	human_colon_Untr._72h_2	human_colon_Untr._72h_3	human_colon_X1000uM_24h_1	human_colon_X1000uM_24h_2	human_colon_X1000uM_24h_3	human_colon_X1000uM_72h_1	human_colon_X1000uM_72h_2	human_colon_X1000uM_72h_3
IPO11-LRRC70	7.024386478	6.937909626	6.931724311	6.965777825	6.827522621	6.891635914	6.951297252	6.985173848	7.001070926	7.488618225	7.590010812	7.581735071
IPO13	8.551808697	8.011708928	8.1971295	8.2201982	8.253182777	8.350516387	7.620396941	7.183432059	7.122329508	7.512430746	7.181290134	7.670937343
IPO4	9.008196456	8.768569275	9.133201305	8.802943335	8.808386591	8.910714027	7.412812213	7.343429156	6.807156306	5.349900336	5.458817842	5.176050031
IPO5	9.229115872	9.229128082	9.406287722	9.31922925	9.39948224	9.356775651	9.446406589	9.722858206	9.373817164	10.14832281	9.973176079	9.989853219
IPO7	10.33501949	10.27348214	10.39663847	10.61234708	10.55147336	10.59258986	10.81384834	11.01849558	10.7909828	11.20547714	11.16388827	11.18705031
IPO8	8.057180486	7.975652333	7.813998553	7.907368236	7.646944105	7.893236871	7.394813008	7.462054285	7.351464782	7.254075243	7.086669789	7.402035646
IPO9	9.705790034	9.792341341	10.00767905	9.786789742	9.580730755	9.759510982	8.656534937	8.673835312	8.656431435	8.402392623	8.190907921	8.518856438
IPP	5.385774782	5.551941482	5.564017766	5.630755746	5.563785779	5.48438402	6.050863035	5.819946551	5.821891384	5.765970172	5.71362392	5.78353974
IPPK	7.12030684	7.011991583	7.226722547	7.220561016	7.118283992	7.008346153	6.834690985	6.711243102	7.080220946	6.705557157	7.222275879	7.017164592
IQCB1	6.355812135	6.176766309	6.177702611	5.976983608	5.945694818	6.083825793	5.7796275	5.942557659	6.339897176	6.839082811	6.994714879	6.946682158
IQCC	5.82925913	5.817915021	5.871036231	6.184818379	6.34359653	6.083825793	5.651332531	5.942557659	5.799548005	5.736581553	5.90094338	5.877346812
IQCD	4.816421725	5.250941047	5.401673785	5.35811043	5.023583329	5.160959385	5.581396869	5.471582749	5.54895668	5.469643712	5.165563051	5.209983428
IQCE	7.940817916	7.951099262	7.832381204	7.697589442	7.67998132	7.784423936	8.101046796	7.788196862	7.861091789	7.551250616	7.552141112	7.795058843
IQCG	5.604602837	5.692548218	5.791177724	5.781487071	5.742775789	5.694325053	5.293642194	5.683370883	5.865372211	5.055015794	5.579273902	5.681697757
