Symbol	mouse_invivo_intes_Ctrl_6hr_1	mouse_invivo_intes_Ctrl_6hr_2	mouse_invivo_intes_Ctrl_6d_1	mouse_invivo_intes_Ctrl_6d_2	mouse_invivo_intes_X50_6hr_1	mouse_invivo_intes_X50_6hr_2	mouse_invivo_intes_X50_6hr_3	mouse_invivo_intes_X50_6hr_4	mouse_invivo_intes_X50_6hr_5	mouse_invivo_intes_X50_6d_1	mouse_invivo_intes_X50_6d_2	mouse_invivo_intes_X50_6d_3	mouse_invivo_intes_X50_6d_4	mouse_invivo_intes_X50_6d_5
SCYL3	375.586465178852	426.196313241926	490.860176479337	481.173964646879	137.18272051437	241.493188676873	363.095640496993	399.71196407148	419.79419995053	470.55045050193	483.882808416014	531.809506342451	514.499964971996	454.191555260233
SDAD1	118.162033988852	150.277312761604	77.3008151935964	121.676174968176	89.3068717442541	87.6806038888339	96.3497031294231	146.260518181544	104.716875484349	124.309596625137	174.454902464977	160.021959566107	179.042052820083	217.853507610286
SDC1	1442.05910868028	1059.33187684409	796.198396494043	1036.09106563811	765.092890922425	913.95883714632	758.307848703793	1026.82898038413	1125.0113879469	2316.93423314309	1998.88590876976	2401.28760881835	2260.65185373929	2137.6050231579
SDC2	27.1290384158079	46.8076875814832	21.257724178239	25.8100977205222	37.7482653764373	48.2986377353746	41.9299633989156	50.0892185553233	36.1412225122973	129.928109466951	190.98220901429	160.98017489285	135.757160929513	132.032428854719
SDC3	47.0236665874004	39.4170000686174	11.5951222790395	25.8100977205222	24.8586137844831	24.5208468502671	23.1952989015278	40.0713748442586	15.7538662233091	112.370256836282	89.0638186268566	132.233715090555	77.7160558944316	66.0162144273595
SDC4	1883.96100109777	1623.48769032618	1343.10166398874	1307.09709170359	2241.87868760061	2598.46671016315	1287.33908903479	1437.56057253778	1045.31535881721	815.386676168271	779.537958909291	840.354841553747	906.031487073057	937.430244868505
SDCBP	2274.61915428541	2305.89450401412	2742.24641899283	2177.26610056691	4367.75051087362	2503.35554662272	2463.16231796609	2434.33602178871	4344.36028558076	1504.35681339572	1883.19476292456	1989.25501831879	2133.74842069648	1679.45249503203
SDCBP2	654.111259581147	492.712500857718	858.03904864892	995.532340648714	1366.30306874715	1375.39659151044	854.657551833216	596.061700808347	796.960291296813	675.626169228145	704.246895740196	805.859089790994	714.200716194396	794.835221705409
SDCCAG8	16.880290569836	17.2449375300201	25.1227649379188	16.5922056774786	38.6689547758626	30.465294571544	16.0582838549039	13.023196824384	20.3873562889882	4.21388463136057	8.26365327465679	6.70750728720209	8.85372788670739	7.92194573128314
SDE2	15.0716880087822	9.85425001715435	25.1227649379188	27.653676129131	34.9861971781614	17.8333431638306	20.5189182590438	24.0428249065552	27.8009403940749	27.3902501038437	27.5455109155226	36.4121824162399	32.4636689179271	33.0081072136798
SDF2	98.2674058172598	98.5425001715436	94.6934986121556	103.240390882089	371.037827968396	268.986259387779	128.466270839231	109.194496450605	153.831870180548	57.5897566285945	63.3546751057021	67.0750728720209	78.6998034373991	81.8601058899258
SDF2L1	83.1957178084777	66.5161876157919	46.3804891161578	33.1844113549571	107.72065973276	96.5972754707492	45.4984709222276	37.0660217309392	83.4028211822246	134.844308203538	117.527513239563	124.56799247661	147.562131445123	108.26659166087
SDF4	1261.19885257489	1140.62943948562	1165.30978904347	1305.25351329498	2584.37514418682	2331.70961867085	1242.73274499339	1282.28399501628	1636.54869119787	927.756933004552	763.010652359977	888.265607890905	847.006634495007	950.633487753977
SDHA	1214.17518598749	1561.89862771897	1441.66020336057	1349.49939510159	2006.18220134773	1619.11894808279	1507.69442859931	1614.87640622362	1431.74843029486	1098.41926057466	987.965658170079	1001.3350164466	1266.08308779916	1205.45607544358
SDHAF1	130.219384395878	152.740875265892	144.939028487993	129.050488602611	242.141312048854	130.777849868091	132.034778362543	100.178437110647	114.910553628843	132.035051782631	136.809370880429	179.18626610097	120.017200242034	174.282806088229
SDHAF2	280.9362644837	278.382562984611	311.135781154226	365.028524904529	322.241289798855	394.562717499753	315.812915813109	317.565645640749	320.637512544997	320.255231983403	364.518927782083	318.127488478728	313.815466206629	302.354262077307
SDHAF3	9.6458803256206	14.7813750257315	13.5276426588794	1.84357840860873	23.9379243850578	8.1736156167557	13.3819032124199	17.0303343088099	7.41358410508663	9.83239747317467	9.18183697184088	13.4150145744042	7.86998034373991	18.4845400396607
SDHAF4	53.0523417909133	44.3441250771946	36.7178872169583	46.0894602152183	127.975826520117	85.4514359933551	46.3905978030556	39.0695904731521	65.7955589326438	81.4684362063044	75.2910631690952	91.0304560405998	70.8298230936592	63.3755658502651
SDHB	1158.71137411517	921.372376603932	943.069945361876	914.41489066993	2286.07177877302	1776.64681269663	1303.3973728897	838.493518616111	1449.35569254444	846.288496798248	763.928836057161	841.313056880491	838.1529066083	808.03846459088
SDHC	5985.26874204758	4318.6250700179	4782.98794010378	4787.77312715687	7759.57025835643	6769.9828985692	6781.9485480544	4611.21346020306	4965.24795438177	3469.4316798202	3297.19765658806	3019.33649456768	3828.74543722946	2875.66630045578
SDHD	3413.43590022899	2599.05844202446	2935.49845697682	2861.23369016075	4189.13676738512	3576.3283603132	3998.51267987106	3115.54939414111	2879.25072681302	3221.51480067516	2923.49689183414	2896.68493274456	3316.2129673434	2857.18176041612
SDK2	9.04301280526931	9.85425001715435	0	12.9050488602611	3.6827575977012	6.68750368643648	8.02914192745193	8.01427496885172	4.63349006567914	21.0694231568029	22.0364087324181	38.3286130697262	27.5449312030897	18.4845400396607
SDR39U1	378.600802780608	342.435188096114	199.049599123511	283.911074925744	495.330896890812	423.541900140977	351.497991046229	235.419327210019	292.836572150922	318.148289667723	269.946006972122	371.787546776344	309.880476034759	374.972097947402
SDR42E1	183.271726186791	177.376500308778	164.264232286392	197.262889721134	107.72065973276	150.840360927401	97.2418300102511	116.20698704835	93.5964993267187	65.3152117860889	78.0456142606475	59.4093502580756	76.7323083514641	55.453620118982
SDSL	23.5118332937002	17.2449375300201	3.86504075967982	29.4972545377397	60.7655003620698	34.180574397342	28.5480601864957	13.023196824384	11.1203761576299	12.6416538940817	11.0182043662091	15.3314452278905	14.7562131445123	18.4845400396607
SEC11A	189.903268910656	246.356250428859	229.969925200949	217.54225221583	301.986123011499	242.236244642033	185.562391212222	176.314049314738	269.669121822526	186.815551990319	206.59133186642	290.339244003176	206.586984023173	278.588424883457
SEC11C	315.902580664075	399.097125694751	332.393505332465	331.844113549571	438.248154126443	344.777967834059	406.809857657564	355.633451742795	431.841274121296	521.819380183484	463.682767077965	615.174239769106	569.589827378176	683.927981467445
SEC13	1334.74869005775	1106.13956442558	1184.63499284186	1227.82322013341	1274.23412880462	1540.35501577587	1225.78233425766	1204.14481406997	1519.78474154276	1329.48060119426	1167.92966281816	1479.48446449143	1569.07733103314	1577.78752481389
SEC14L1	2847.34329861913	1916.65162833652	1661.96752666232	1650.00267570481	1393.00306133048	1562.64669473066	1832.4286132207	1777.16547434287	2060.04968320095	1607.59698686406	1279.02989017743	1194.89451244871	1706.80198704859	1148.68213103606
SEC14L2	2425.33603437323	1906.79737831937	3202.18626939473	3596.82147519563	1763.12019989945	3761.34929563794	1691.47256604987	2854.08367328232	2876.47063277361	1130.72570941509	1187.21152045903	685.123958621356	998.503756112001	751.264520183351
SEC16A	3820.37147646611	2690.21025468314	2908.44317165906	3034.53006056997	663.817056985642	1126.47284318197	2322.20627079526	3206.7117719118	2836.62261820877	3210.27777499153	2535.10518792527	2358.16791911491	3086.01604228901	2424.11539377264
SEC16B	2293.91091493665	1852.59900322502	2137.36754010294	2114.58443467421	854.399762666679	1431.86884486257	1604.04413172873	2094.73111998362	1641.18218126355	1335.09911403607	1283.62080866336	974.504987297789	1332.97792072095	987.602567833298
